name,country,codeforces_id,competitions,Codeforces_rating_2025,Codeforces_rating_2024,Codeforces_rating_2023,Codeforces_rating_2022,search_confidence_percent
Kangyang Zhou,China,orzdevinwang,['IOI 2024'],3828.0,3844,3697,3399,100.0
Adam Gąsienica-Samek,Poland,adam_gs,"['IOI 2024', 'BOI 2024', 'BOI 2023', 'IOI 2023', 'CEOI 2023', 'JOI 2025 JOI_honsen', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring']",2804.0,2896,2718,2479,100.0
Brian Xue,United States of America,hyforces,"['IOI 2024', 'JOI 2025 JOI_honsen', 'JOI 2023 JOI_open', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'IOI 2025']",2624.0,2624,2531,2130,100.0
Daniel Weber,Israel,CommandMaster,"['IOI 2024', 'BOI 2025', 'IOI 2023', 'COCI 2023 CONTEST_#2', 'COCI 2023 CONTEST_#3', 'COCI 2023 CONTEST_#4', 'COCI 2023 CONTEST_#5', 'COCI 2024 CONTEST_#1', 'COCI 2024 CONTEST_#2', 'COCI 2024 CONTEST_#3', 'COCI 2024 CONTEST_#4', 'COCI 2024 CONTEST_#5', 'COCI 2025 CONTEST_#1', 'COCI 2025 CONTEST_#2', 'COCI 2025 CONTEST_#3', 'COCI 2025 CONTEST_#5', 'APIO 2023', 'APIO 2025']",2276.0,2276,2201,1755,100.0
Agastya Goel,United States of America,gustergoose27,"['IOI 2024', 'IOI 2023', 'JOI 2024 JOI_open']",2448.0,2448,2448,667,100.0
Rain Jiang,United States of America,rainboy,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_honsen', 'JOI 2024 JOI_spring', 'IOI 2025']",2411.0,2475,2279,2320,100.0
Mihai-Valeriu Voicu,Romania,valeriu,"['IOI 2024', 'CEOI 2024', 'RMI 2023 contest', 'RMI 2024 contest', 'JOI 2023 JOI_honsen', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_spring', 'OOI 2023 Qualification', 'IOI 2025', 'CEOI 2025']",2569.0,2467,2579,2179,100.0
Bálint Rózsa,Canada,BalintR,"['IOI 2024', 'IOI 2023', 'JOI 2023 JOI_spring', 'JOI 2024 JOI_open', 'JOI 2024 JOI_spring', 'APIO 2024']",2770.0,2914,2810,2697,100.0
Yuchong Guo,China,Kubic,['IOI 2024'],3004.0,3004,3004,2743,100.0
Eliška Macáková,Slovakia,prvocislo,"['IOI 2024', 'IOI 2023', 'CEOI 2023', 'EGOI 2024', 'EGOI 2023']",0.0,0,2401,2401,100.0
